epoch,num_batches,mean_abs_td_error,mean_target,mean_q,max_q,min_q,policy_return,chose_short_path,selected_optimal_path
0.0,600.0,0.008141742720813545,0.007161064373306491,0.0007216241164285686,0.10095174819752842,-0.0027640291955616436,0.36972963764972644,1.0,1.0
1.0,600.0,0.007836815179987742,0.007695182077355816,0.0014190730051074011,0.1908565733777756,-0.0025663344091042804,0.36972963764972644,1.0,1.0
2.0,600.0,0.007897283075577542,0.008562716367637488,0.0021335624844800857,0.27177091603999803,-0.002362557654264687,0.36972963764972644,1.0,1.0
3.0,600.0,0.007679770488069784,0.009142161692291916,0.002834568413442881,0.34459382443599823,-0.0021655126833561343,0.36972963764972644,1.0,1.0
4.0,600.0,0.007754922556797516,0.009997759302332586,0.0035510478658834707,0.4101344419923984,-0.001988172209538437,0.36972963764972644,1.0,1.0
5.0,600.0,0.007698482354846379,0.010722341021845768,0.0042683447363221555,0.4691209977931586,-0.0018408957300631555,0.36972963764972644,1.0,1.0
6.0,600.0,0.007608441848206399,0.011404144767349451,0.004982094794634138,0.5222088980138427,-0.00171320568010571,0.36972963764972644,1.0,1.0
7.0,600.0,0.007607760698749188,0.012167041403553723,0.005700759272527701,0.5699880082124584,-0.0015952195716141752,0.36972963764972644,1.0,1.0
8.0,600.0,0.007256317093920958,0.012579122548637441,0.0063887629238963605,0.6129892073912125,-0.001489032073971794,0.36972963764972644,1.0,1.0
9.0,600.0,0.007343085883443603,0.013388171608987823,0.0070888656353449205,0.6516902866520913,-0.001464112058249955,0.36972963764972644,1.0,1.0
10.0,600.0,0.007252343965647451,0.014027326568455569,0.00778286540125138,0.6865212579868821,-0.0014412041345915956,0.36972963764972644,1.0,1.0
11.0,600.0,0.007302604658079159,0.014802317728890053,0.008484956475378764,0.7178691321881939,-0.0014205870032990722,0.36972963764972644,1.0,1.0
12.0,600.0,0.007432515376669306,0.015656377602369667,0.009202236286544405,0.7460822189693745,-0.001394212418935078,0.36972963764972644,1.0,1.0
