epoch,short_path_probability,optimal_path_probability,mean_policy_return
0.0,0.6,0.6,0.2759709845526487
1.0,0.6,0.6,0.2759709845526487
2.0,0.5,0.5,0.2525313212783792
3.0,0.6,0.6,0.2759709845526487
4.0,0.7,0.7,0.2994106478269181
5.0,0.7,0.7,0.2994106478269181
6.0,0.6,0.6,0.2759709845526487
7.0,0.6,0.6,0.2759709845526487
8.0,0.6,0.6,0.2759709845526487
9.0,0.6,0.6,0.2759709845526487
10.0,0.6,0.6,0.2759709845526487
11.0,0.8,0.8,0.3228503111011875
12.0,0.8,0.8,0.3228503111011875
13.0,0.8,0.8,0.3228503111011875
14.0,0.8,0.8,0.3228503111011875
15.0,0.8,0.8,0.3228503111011875
16.0,0.8,0.8,0.3228503111011875
17.0,0.8,0.8,0.3228503111011875
18.0,0.8,0.8,0.3228503111011875
19.0,0.8,0.8,0.3228503111011875
20.0,0.8,0.8,0.3228503111011875
21.0,0.8,0.8,0.3228503111011875
22.0,0.8,0.8,0.3228503111011875
23.0,0.8,0.8,0.3228503111011875
24.0,0.8,0.8,0.3228503111011875
25.0,0.8,0.8,0.3228503111011875
26.0,0.8,0.8,0.3228503111011875
27.0,0.7,0.7,0.2994106478269181
28.0,0.7,0.7,0.2994106478269181
29.0,0.7,0.7,0.2994106478269181
30.0,0.7,0.7,0.2994106478269181
31.0,0.7,0.7,0.2994106478269181
32.0,0.7,0.7,0.2994106478269181
33.0,0.7,0.7,0.2994106478269181
34.0,0.6,0.6,0.2759709845526487
35.0,0.6,0.6,0.2759709845526487
36.0,0.6,0.6,0.2759709845526487
37.0,0.6,0.6,0.2759709845526487
38.0,0.6,0.6,0.2759709845526487
39.0,0.6,0.6,0.2759709845526487
40.0,0.6,0.6,0.2759709845526487
41.0,0.6,0.6,0.2759709845526487
42.0,0.6,0.6,0.2759709845526487
43.0,0.6,0.6,0.2759709845526487
44.0,0.6,0.6,0.2759709845526487
45.0,0.6,0.6,0.2759709845526487
46.0,0.6,0.6,0.2759709845526487
47.0,0.6,0.6,0.2759709845526487
48.0,0.6,0.6,0.2759709845526487
49.0,0.6,0.6,0.2759709845526487
