seed,learned_return,optimal_return,return_gap,chose_short_path,selected_optimal_path
0.0,0.13533300490703204,0.36972963764972655,0.2343966327426945,0.0,0.0
1.0,0.36972963764972644,0.36972963764972655,1.1102230246251565e-16,1.0,1.0
2.0,0.36972963764972644,0.36972963764972655,1.1102230246251565e-16,1.0,1.0
3.0,0.13533300490703204,0.36972963764972655,0.2343966327426945,0.0,0.0
4.0,0.36972963764972644,0.36972963764972655,1.1102230246251565e-16,1.0,1.0
5.0,0.13533300490703204,0.36972963764972655,0.2343966327426945,0.0,0.0
6.0,0.36972963764972644,0.36972963764972655,1.1102230246251565e-16,1.0,1.0
7.0,0.13533300490703204,0.36972963764972655,0.2343966327426945,0.0,0.0
8.0,0.36972963764972644,0.36972963764972655,1.1102230246251565e-16,1.0,1.0
9.0,0.36972963764972644,0.36972963764972655,1.1102230246251565e-16,1.0,1.0
